query,value,term,date
coronavirus tips,102600,coronavirus,2020-03-27
covid 19,72600,coronavirus,2020-03-27
trump coronavirus,52900,coronavirus,2020-03-27
notizie coronavirus,50350,coronavirus,2020-03-27
wuhan coronavirus,48850,coronavirus,2020-03-27
ultime coronavirus,45300,coronavirus,2020-03-27
coronavirus ultime notizie,39600,coronavirus,2020-03-27
coronavirus worldometer,37350,coronavirus,2020-03-27
us coronavirus cases,36250,coronavirus,2020-03-27
italie coronavirus,34850,coronavirus,2020-03-27
coronavirus update india,25550,coronavirus,2020-03-27
coronavirus in italia,25500,coronavirus,2020-03-27
covid-19,24150,coronavirus,2020-03-27
coronavirus live map,23700,coronavirus,2020-03-27
john hopkins coronavirus,23650,coronavirus,2020-03-27
coronavirus lombardia,23400,coronavirus,2020-03-27
coronavirus meme,23050,coronavirus,2020-03-27
coronavirus live update,23050,coronavirus,2020-03-27
coronavirus update uk,20950,coronavirus,2020-03-27
decreto coronavirus,19750,coronavirus,2020-03-27
coronavirus österreich,19250,coronavirus,2020-03-27
coronavirus roma,18900,coronavirus,2020-03-27
coronavirus memes,17350,coronavirus,2020-03-27
coronavirus cases in india,16050,coronavirus,2020-03-27
coronavirus georgia,16050,coronavirus,2020-03-27
covid-19 coronavirus,1218150,covid-19,2020-03-27
coronavirus,1181150,covid-19,2020-03-27
covid,682700,covid-19,2020-03-27
covid-19 cases,605100,covid-19,2020-03-27
covid 19,473950,covid-19,2020-03-27
corona,405300,covid-19,2020-03-27
virus covid-19,398550,covid-19,2020-03-27
covid-19 map,273250,covid-19,2020-03-27
covid-19 symptoms,271350,covid-19,2020-03-27
covid-19 news,247000,covid-19,2020-03-27
covid-19 updates,238250,covid-19,2020-03-27
covid-19 update,213450,covid-19,2020-03-27
covid-19 live,203950,covid-19,2020-03-27
corona virus,201950,covid-19,2020-03-27
covid-19 us,185450,covid-19,2020-03-27
who,169900,covid-19,2020-03-27
covid-19 who,169200,covid-19,2020-03-27
covid-19 canada,167650,covid-19,2020-03-27
what is covid-19,165850,covid-19,2020-03-27
covid-19 cdc,143000,covid-19,2020-03-27
cdc,139750,covid-19,2020-03-27
covid-19 test,136250,covid-19,2020-03-27
covid-19 italy,134850,covid-19,2020-03-27
covid-19 china,128200,covid-19,2020-03-27
covid-19 usa,118050,covid-19,2020-03-27
covid,1438650,covid19,2020-03-27
covid 19,1282950,covid19,2020-03-27
coronavirus covid19,950500,covid19,2020-03-27
coronavirus,930200,covid19,2020-03-27
covid19 cases,496800,covid19,2020-03-27
corona,395600,covid19,2020-03-27
corona covid19,390150,covid19,2020-03-27
covid19 virus,368100,covid19,2020-03-27
covid19 news,253550,covid19,2020-03-27
covid19 update,223300,covid19,2020-03-27
symptoms covid19,222750,covid19,2020-03-27
covid19 symptoms,220150,covid19,2020-03-27
covid19 map,217850,covid19,2020-03-27
corona virus,206600,covid19,2020-03-27
covid19 us,178600,covid19,2020-03-27
what is covid19,173100,covid19,2020-03-27
covid19 who,159800,covid19,2020-03-27
who,156600,covid19,2020-03-27
canada covid19,155350,covid19,2020-03-27
italy covid19,154100,covid19,2020-03-27
italy,147850,covid19,2020-03-27
test covid19,146500,covid19,2020-03-27
china covid19,144300,covid19,2020-03-27
covid19 uk,130850,covid19,2020-03-27
covid-19,129800,covid19,2020-03-27
coronavirus,707750,sars-cov-2,2020-03-27
coronavirus sars-cov-2,687850,sars-cov-2,2020-03-27
covid-19,568100,sars-cov-2,2020-03-27
covid-19 sars-cov-2,538200,sars-cov-2,2020-03-27
sars,346250,sars-cov-2,2020-03-27
virus sars-cov-2,306300,sars-cov-2,2020-03-27
corona,241200,sars-cov-2,2020-03-27
sars-cov-2 covid 19,224250,sars-cov-2,2020-03-27
covid 19,210650,sars-cov-2,2020-03-27
corona virus,121450,sars-cov-2,2020-03-27
sars-cov-2 vs covid-19,107850,sars-cov-2,2020-03-27
what is sars-cov-2,107650,sars-cov-2,2020-03-27
sars cov 2,91850,sars-cov-2,2020-03-27
sars-cov-2 wiki,56650,sars-cov-2,2020-03-27
koronawirus,47000,sars-cov-2,2020-03-27
cdc,44300,sars-cov-2,2020-03-27
sars-cov,44100,sars-cov-2,2020-03-27
sars-cov-1,41000,sars-cov-2,2020-03-27
sars-cov-2 vs cod-19,28450,sars-cov-2,2020-03-27
sars-cov-2 genome,22300,sars-cov-2,2020-03-27
pubmed,22200,sars-cov-2,2020-03-27
коронавирус,21950,sars-cov-2,2020-03-27
sars-cov-2 or covid-19,19150,sars-cov-2,2020-03-27
on the origin and continuing evolution of sars-cov-2,18950,sars-cov-2,2020-03-27
the proximal origin of sars-cov-2,18800,sars-cov-2,2020-03-27
coronavirus,707350,covid-19 pandemic,2020-03-27
covid-19 coronavirus pandemic,682850,covid-19 pandemic,2020-03-27
coronavirus pandemic,655700,covid-19 pandemic,2020-03-27
who,288300,covid-19 pandemic,2020-03-27
is covid-19 a pandemic,269250,covid-19 pandemic,2020-03-27
who pandemic,262250,covid-19 pandemic,2020-03-27
covid 19 pandemic,248100,covid-19 pandemic,2020-03-27
pandemic meaning,140650,covid-19 pandemic,2020-03-27
what is a pandemic,107950,covid-19 pandemic,2020-03-27
pandemic vs epidemic,98050,covid-19 pandemic,2020-03-27
cdc pandemic,97750,covid-19 pandemic,2020-03-27
pandemic definition,94750,covid-19 pandemic,2020-03-27
pandemic define,61950,covid-19 pandemic,2020-03-27
covid-19 pandemic plan,58650,covid-19 pandemic,2020-03-27
coronavirus pandemic covid-19 live world map/count,55350,covid-19 pandemic,2020-03-27
who declared covid-19 pandemic,52050,covid-19 pandemic,2020-03-27
covid-19 pandemic unemployment payment,51900,covid-19 pandemic,2020-03-27
coronavirus update,32550,covid-19 pandemic,2020-03-27
